Search City,Job Title,Company,Location,Required Skills,Posted Date,Job URL
Mumbai,Fleet Supervisor,Acko,Mumbai,fleet | data management | team management | administration | presentation skills | logistics | problem solving | analysis,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-acko-mumbai-1-to-3-years-241225503697
Mumbai,Transport Executive,ISS India,Mumbai (All Areas)(Hiranandani Gardens Powai),Cab | Rostering | Travel Management | Transport Management | Vehicle Management | Fleet Management | Vehicle Tracking | Gps Tracking,1 day ago,https://www.naukri.com/job-listings-transport-executive-iss-india-mumbai-all-areas-2-to-7-years-250626028836
Mumbai,Manager - Operations,Movin Express,Mumbai (All Areas)(Bhiwandi),Operations | Fleet | first mile | Logistics Operations | Supply Chain Operations | Transport Operations | Route Planning | Vehicle Management,2 days ago,https://www.naukri.com/job-listings-manager-operations-movin-express-mumbai-all-areas-10-to-16-years-240626007533
Mumbai,Transport Executive,Euroschool Kharadi,"Mumbai, Hyderabad, Pune, Bengaluru",fleet | shipment | supply chain | warehouse operations | documentation | logistics | tracking | transportation operations,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-euroschool-kharadi-mumbai-hyderabad-pune-bengaluru-2-to-5-years-170225504838
Mumbai,Transport Executive,DMart,"Navi Mumbai, Bhiwandi, Dattwadi, Pune",Vehicle Management | Transportation | Transport Operations | Dispatch Planning | Shipment Tracking | Route Planning | Transport Management | Vehicle,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-dmart-bhiwandi-navi-mumbai-dattwadi-pune-3-to-7-years-230725020523
Mumbai,Executive - Transport,Cushman & Wakefield,Mumbai,Vehicle Management | Route Planning | Gps Tracking | Transport Operations | GPS | Vehicle | Management | Tracking,1 day ago,https://www.naukri.com/job-listings-executive-transport-cushman-wakefield-mumbai-3-to-5-years-250626022388
Mumbai,Service advisor,Apollo Hospitals,Mumbai,repair | advisory services | mechanical engineering | customer service | automobile | automobile service | vehicle maintenance | service engineering,1 week ago,https://www.naukri.com/job-listings-service-advisor-apollo-hospitals-mumbai-1-to-6-years-120626504876
Mumbai,Transport Coordinator- Male,TNT Business Services Pvt Ltd,Mumbai(Marol),Transport Management | Transportation | Vehicle Tracking | Dispatch | Supply Chain | Route Planning | Dispatch Planning | Logistics,3+ weeks ago,https://www.naukri.com/job-listings-transport-coordinator-male-tnt-business-services-mumbai-2-to-7-years-250526015102
Mumbai,Transport Executive,Sinotrans India,Mumbai,Vehicle management | Team management | Transport Executive | Safety management | Transport management | Management | Supervision | Logistics,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-sinotrans-india-private-limited-mumbai-2-to-6-years-190624501522
Mumbai,Service Advisor,For Client of Trevo Innovations Pvt. Ltd.,"Mumbai(Panvel), Navi Mumbai",Spare Parts | Advisory Services | Automobile | Customer Service | Car Service | Automotive Service | Solving Queries | Workshop Management,3 weeks ago,https://www.naukri.com/job-listings-service-advisor-trevo-innovations-mumbai-navi-mumbai-1-to-6-years-030626029823
Mumbai,Fleet Supervisor,Acko,Mumbai,com | sosl | lightning | visualforce | soql | triggers | lighting | apex,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-acko-general-mumbai-1-to-4-years-260825504558
Mumbai,Transport Executive,Cushman & Wakefield,Mumbai Suburban,Vehicle Management | Transport Management | Transport Operations | Route Planning | Gps Tracking | Route3 | GPS | Operations,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-cushman-wakefield-mumbai-suburban-3-to-8-years-260526019495
Mumbai,"Senior Associate, Specialist, Operations, Project Management",DBS Bank,Mumbai,Project management | Analytical | Machine learning | Banking | Data collection | Scheduling | Manager Quality Control | Operations,2 days ago,https://www.naukri.com/job-listings-senior-associate-specialist-operations-project-management-dbs-bank-ltd-mumbai-5-to-7-years-230626502305
Mumbai,Duty Manager with CBRE (BKC),CBRE,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",MEP | Breakdown Maintenance | Report Preparation | AMC | BMS | Vendor Management | Bm | Reporting,6 days ago,https://www.naukri.com/job-listings-duty-manager-with-cbre-bkc-cbre-mumbai-mumbai-suburban-mumbai-all-areas-0-to-6-years-190626016235
Mumbai,Operations Staff - MEC,DHL Supply Chain,Mumbai,application software | project management | shipment | data analysis | process enhancement | logistics | general accounting | general ledger,1 week ago,https://www.naukri.com/job-listings-operations-staff-mec-dhl-global-forwarding-india-mumbai-6-to-8-years-160626503834
Mumbai,Ops Trainer- Associate/Sr Associate,Delhivery,Mumbai (All Areas),Training And Development | Learning And Development | Operations | Training Coordination,1 week ago,https://www.naukri.com/job-listings-ops-trainer-associate-sr-associate-delhivery-mumbai-all-areas-1-to-6-years-120626023359
Mumbai,Executive - Operations,Bottle Lab Technologies,Mumbai,cost reduction | operations management | team management | back office operations | back office | warehouse operations | customer service | logistics,3+ weeks ago,https://www.naukri.com/job-listings-executive-operations-bottle-lab-technologies-pvt-ltd-smartq-mumbai-0-to-2-years-220526504010
Mumbai,Assistant Manager - Operations,K Raheja Corp,Mumbai,Operations | Communication Skills | Leadership | Operations Management | Quality Control | Management | Quality | Control,2 weeks ago,https://www.naukri.com/job-listings-assistant-manager-operations-k-raheja-corp-real-estate-private-limited-mumbai-4-to-7-years-050626923394
Mumbai,Operations & Sales Executive,Hikerwolf,Mumbai,,Starts in 1-3 months,https://www.naukri.com/job-listings-operations-sales-executive-hikerwolf-mumbai-0-to-3-years-270324500054
Mumbai,Executive - Operations,Bottle Lab Technologies,Mumbai,cost reduction | operations management | management skills | team management | warehouse operations | customer service | logistics | process improvement,3 weeks ago,https://www.naukri.com/job-listings-executive-operations-bottle-lab-technologies-pvt-ltd-smartq-mumbai-0-to-2-years-020626502697
Mumbai,WAREHOUSE EXECUTIVE (Receipts & Dispatch),Blue Dart Express Ltd,Mumbai,application software | dispatchinventory | operations | shipment | warehouse management | warehouse | communication skills | Dispatch,3+ weeks ago,https://www.naukri.com/job-listings-warehouse-executive-receipts-dispatch-blue-dart-express-ltd-mumbai-2-to-7-years-250326501138
Mumbai,Executive - Warehouse Operations - Contract Logistics,DP World,"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Outbound | Operations management | Warehouse | contract logistics | Warehouse Executive | Compliance | Warehouse operations | Inventory,3+ weeks ago,https://www.naukri.com/job-listings-executive-warehouse-operations-contract-logistics-dp-world-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-080825502552
Mumbai,Dispatch Executive (Females Only),Sunanda Speciality Coatings,"Mumbai, Dadar",Dispatch Incharge | Dispatch Coordinator | Dispatch and admin | Dispatch | Dispatch Scheduling | Administration | Stock Management | Material Dispatch,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-females-only-sunanda-speciality-coatings-mumbai-dadar-1-to-5-years-310326024421
Mumbai,"Billing And Dispatch Executive - Ghansoli, Mumbai - Female",Seven Consultancy,Mumbai,Billing | Dispatch | Inventory Management | Vendor Relations | Delivery Challan | Invoicing | Order Processing | Relationship,2 days ago,https://www.naukri.com/job-listings-billing-and-dispatch-executive-ghansoli-mumbai-female-seven-consultancy-mumbai-1-to-3-years-240626008306
Mumbai,Dispatcher Executive ( CSE ),Navkar Business Services,Mumbai,Business services | CVS | Usage | Provident fund | PDF | Senior Executive | CAD | Medical insurance,3+ weeks ago,https://www.naukri.com/job-listings-dispatcher-executive-cse-navkar-business-services-mumbai-0-to-3-years-130224501426
Mumbai,Sales Billing Dispatch Executive,Double Hr Consultancy,Mumbai,SAP FICO | Sales | Billing | Dispatch Executive | SAP Executive | Sales Bill | SAP | Dispatch,3+ weeks ago,https://www.naukri.com/job-listings-sales-billing-dispatch-executive-double-hr-consultancy-mumbai-2-to-4-years-031225502118
Mumbai,Dispatch Executive,Ambetronics Engineers,Mumbai,Dispatch Planning | Dispatch Scheduling | Dispatch | Order Processing | Process | Order fulfillment | Processing | Scheduling,2 weeks ago,https://www.naukri.com/job-listings-dispatch-executive-ambetronics-engineers-mumbai-1-to-4-years-090626031956
Mumbai,Dispatch Executive,Quiz Electronics Llp,Mumbai(Vasai East),Tally ERP | Communication Skills | Excel | Dispatch | Hindi | MS Office | Microsoft | Tally,2 days ago,https://www.naukri.com/job-listings-dispatch-executive-quiz-electronics-llp-mumbai-0-to-2-years-230626934890
Mumbai,Dispatch Executive,Convocare Hr & Counselling,Mumbai,Transport Executive | Transport management | Routing | Dispatch Executive | Logistics | Sales achievement | Transportation | Sales,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-convocare-hr-counselling-services-llp-mumbai-2-to-4-years-190326501688
Mumbai,Dispatch Executive,Gemtree Natural Produce,Mumbai,grn | dispatch | supply chain | warehouse operations | warehouse management | logistics operations | logistics | warehouse,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-gemtree-mumbai-1-to-4-years-100725501560
Mumbai,Dispatch Executive,Vinson Logistics,Mumbai(Taloja),Inbound Logistics | SAP | Dispatch | Dispatch Planning | Outbound Logistics | GRN | E Way Bill | Warehouse Operations,3 weeks ago,https://www.naukri.com/job-listings-dispatch-executive-vinson-logistics-mumbai-3-to-5-years-040626021654
Mumbai,Dispatch Executive,s d fiNE CHEM (SDFCL),Mumbai,SAP | Chemical | PDF | Sales | MS Word | Executive management | Sales accounting | Management,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-s-d-fine-chem-limited-mumbai-5-to-10-years-070325500582
Mumbai,Logistics Executive,Testing Grounds,Mumbai(Wadala),Export Operations | Vendor Management | Supply Chain Management | Transportation Management | Logistics Management | Export Documentation | MS Excel | International Shipping,1 day ago,https://www.naukri.com/job-listings-logistics-executive-testing-grounds-mumbai-0-to-2-years-250626922539
Mumbai,Billing Dispatch Executive,Enrg,"Mumbai, New Delhi, Pune",Tally | Excel | Accounting | MIS | Billing | Packaging | MS Office | Dispatch Executive,3+ weeks ago,https://www.naukri.com/job-listings-billing-dispatch-executive-enrg-mumbai-new-delhi-pune-3-to-4-years-031224508528
Mumbai,Billing Dispatch Executive,Rims Marketing,"Mumbai, New Delhi, Pune",Tally | Excel | Accounting | MIS | Billing | Packaging | Dispatch Executive | MS Office,3+ weeks ago,https://www.naukri.com/job-listings-billing-dispatch-executive-lakdi-mumbai-new-delhi-pune-3-to-4-years-300925504655
Delhi,Fleet Supervisor,Acko,Gurugram,fleet | data management | team management | administration | presentation skills | logistics | problem solving | analysis,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-acko-gurugram-1-to-3-years-241225503950
Delhi,Fleet Executive,Euride India,"Delhi / NCR, Noida(Sector 49)",Fleet | Transport Operations | Route Planning | Vehicle Management | Fleet Operations | Tracking | Transportation | Logistics Operations,1 day ago,https://www.naukri.com/job-listings-fleet-executive-euride-india-noida-delhi-ncr-0-to-2-years-240626929655
Delhi,Transport Executive || Noida and Bhubaneswar || Night Shift - 10pm-7am,Delhivery,"Noida, Bhubaneswar, Chandigarh",Vehicle Management | Fleet | Route Planning | Cargo | Fleet Operations | Full Truck Load | Transportation | Trucking,6 days ago,https://www.naukri.com/job-listings-transport-executive-noida-and-bhubaneswar-night-shift-10pm-7am-delhivery-noida-bhubaneswar-chandigarh-2-to-7-years-190626011933
Delhi,Fleet Executive,BVC Logistics,New Delhi,Fleet Management | Fleet Operations | Fleet Maintenance | Vehicle Tracking | Gps Tracking | Route Planning | Excel Report Preparation | Transport Operations,1 day ago,https://www.naukri.com/job-listings-fleet-executive-bvc-logistics-new-delhi-1-to-6-years-150426029874
Delhi,Fleet Supervisor - Pharmaceutical Logistics,Estalvis Advisors,Gurugram,Supply chain | SAP | Pharma | Fleet Supervisor | Oracle | Load balancing | Distribution network | Operations,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-pharmaceutical-logistics-estalvis-advisors-private-limited-gurugram-3-to-5-years-250226503315
Delhi,Transport Coordinator,School,Noida,Vehicle Management | Fuel Management | Vehicle Tracking | Route Planning | Transport Operations | Fleet Operations | Vehicle Maintenance | Fleet Management,1 week ago,https://www.naukri.com/job-listings-transport-coordinator-jj-india-delhi-noida-5-to-10-years-130626012651
Delhi,Manager - Operations and Vetting - Celcius Tech,Fleet Management,Gurugram,Training | Due diligence | Fleet management | Performance management | SAR | Inspection | Customer experience | Continuous improvement,3+ weeks ago,https://www.naukri.com/job-listings-manager-operations-and-vetting-celcius-tech-fleet-management-gurugram-10-to-14-years-060226502372
Delhi,Supervisor (EV Fleet Operations),Indus Motors Green,New Delhi,Payroll | ERP | Operations Manager | MIS | Process improvement | Data Analyst | Data mining | Business intelligence,3+ weeks ago,https://www.naukri.com/job-listings-supervisor-ev-fleet-operations-indus-motors-green-new-delhi-2-to-7-years-200226500015
Delhi,Transport Executive,Vinayak Enterprises,New Delhi,Truck Booking | Heavy truck placement | Freight Cooridnation | Vehicle Placement | Local Transport Network | FTL Coordination | Route Corodination | Transport Coordination,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-vinayak-enterprises-new-delhi-2-to-3-years-250526005782
Delhi,Service Advisor,Ring Road Hond,Gurugram,ERP | vehicle maintenance | Interpersonal skills | PDF | Time management | Service Advisor | HTML | Customer service,3+ weeks ago,https://www.naukri.com/job-listings-service-advisor-ring-road-honda-gurugram-3-to-7-years-260825500049
Delhi,Transport Executive,Ferns N Petals,New Delhi(Chattarpur),Fleet Management | Transportation | Route Planning | Management | Fleet | Planning | Route3,1 week ago,https://www.naukri.com/job-listings-transport-executive-ferns-n-petals-new-delhi-5-to-10-years-180626016188
Delhi,Fleet Officer / Incharge - Males Only,Metrro Waste Handling,"New Delhi(Vinod Nagar East), Delhi / NCR(Shahdara)",Logistics Operations | Route Planning | Vehicle Management | Fleet Management | Vehicle Tracking | Transportation | collection and transportation | Transport Operations,1 week ago,https://www.naukri.com/job-listings-fleet-officer-incharge-males-only-metrro-waste-handling-new-delhi-delhi-ncr-5-to-10-years-060325008505
Delhi,Airport Ground Staff,Namo Airways,Delhi / NCR,airport operations | insurance | ground staff | medical | operations | ticketing | skill development | aviation,1 day ago,https://www.naukri.com/job-listings-airport-ground-staff-namo-airways-delhi-ncr-0-to-2-years-250626925246
Delhi,Airport Ground Staff,Namo Airways,Delhi / NCR,Communication skills | insurance | ground staff | medical | operations | ticketing | skill development | aviation,1 day ago,https://www.naukri.com/job-listings-airport-ground-staff-namo-airways-delhi-ncr-0-to-1-years-250626925228
Delhi,Airport Ground Staff,Namo Airways,Noida,Airport Operations | Customer Service at Airport | Airport Operations Executive | Baggage Handling Staff | Check-in Assistant | Airport Ground Staff | Air Ticketing Executive | Passenger Service Agent,1 day ago,https://www.naukri.com/job-listings-airport-ground-staff-namo-airways-noida-0-to-1-years-250626925198
Delhi,Operations Manager,Stratsmith,New Delhi(Hauz Khas),Team Handling | Operations | Escalation Management | Last Mile Delivery | Urban Transport | Operations Team Handling | Logistics Operations | Route Planning,2 weeks ago,https://www.naukri.com/job-listings-operations-manager-stratsmith-delhi-new-delhi-2-to-7-years-090626011515
Delhi,Airport Ground Staff,Namo Airways,Ghaziabad,Communication skills | Customer Service at Airport | Airport Operations Executive | Baggage Handling Staff | Check-in Assistant | Airport Ground Staff | Air Ticketing Executive | Passenger Service Agent,1 day ago,https://www.naukri.com/job-listings-airport-ground-staff-namo-airways-ghaziabad-0-to-3-years-250626925149
Delhi,Process Associate - Insurance - Noida,Genpact,"New Delhi, Noida, Gurugram",insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Processing | Process,1 week ago,https://www.naukri.com/job-listings-process-associate-insurance-noida-genpact-noida-new-delhi-gurugram-0-to-3-years-080626008486
Delhi,Process Associate - Insurance - Noida,Genpact,"New Delhi, Noida, Gurugram",insurance | claims | Property And Casualty Insurance | Insurance Claims | Property And Casualty | Claims Processing | Process | Processing,2 weeks ago,https://www.naukri.com/job-listings-process-associate-insurance-noida-genpact-noida-new-delhi-gurugram-0-to-3-years-080626008185
Delhi,Operations Assistant Manager - International,TP,Gurugram,operations | operations management | communication | customer experience | process improvements | International | Process | Communication skills,2 weeks ago,https://www.naukri.com/job-listings-operations-assistant-manager-international-teleperformance-global-business-private-limited-gurugram-3-to-8-years-100626928510
Delhi,WAREHOUSE EXECUTIVE (Receipts & Dispatch),Delhivery,New Delhi,WAREHOUSE EXECUTIVE (Receipts & Dispatch) | Warehouse | Dispatch | Receipt,3+ weeks ago,https://www.naukri.com/job-listings-warehouse-executive-receipts-dispatch-delhivery-limited-new-delhi-2-to-5-years-240326505532
Delhi,Supply Chain Executive,Delhivery,New Delhi,cost reduction | supply chain | negotiation | logistics | operationsvendor | supply | communication skills | Cost,3+ weeks ago,https://www.naukri.com/job-listings-supply-chain-executive-delhivery-limited-new-delhi-1-to-4-years-240326506537
Delhi,Executive - Warehouse Operations - Contract Logistics,DP World,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",Outbound | Operations management | Warehouse | contract logistics | Warehouse Executive | Compliance | Warehouse operations | Inventory,3+ weeks ago,https://www.naukri.com/job-listings-executive-warehouse-operations-contract-logistics-dp-world-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-080825502552
Delhi,Dispatch Executive,Euride India,"Delhi / NCR, Noida(Sector 49)",MS Excel | Dispatch | Supply Chain Management | Delivery | Tracking | Dispatch Planning | Dispatch Scheduling | Material Receipt,1 day ago,https://www.naukri.com/job-listings-dispatch-executive-euride-india-noida-delhi-ncr-1-to-3-years-240626930722
Delhi,Store and Dispatch Executive,Vinsak,Gurugram,Inventory Management | Dispatch | GRN | Material Management | Raw Material Procurement | Raw material | Material procurement | Stores,1 week ago,https://www.naukri.com/job-listings-store-and-dispatch-executive-vinsak-gurugram-3-to-5-years-120626019526
Delhi,Dispatch Executive,Euride Gmbh,Gurugram(Sector 49),Backend Operations | Logistics Operations | Logistics | Outbound Logistics | Vehicle Tracking | Dispatch | Route Planning | Route3,3 weeks ago,https://www.naukri.com/job-listings-dispatch-executive-euride-gmbh-gurugram-1-to-3-years-050526016876
Delhi,Dispatch Executive,Career Solutions,New Delhi(Narela),Dispatch | E Way Bill | Supply Chain Management | Dispatch Planning | Logistics | GRN | SAP | Inward,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-career-solutions-new-delhi-1-to-6-years-280526026230
Delhi,Dispatch Executive,Trident Logistics,Remote,Spoken English | English | Dispatch | Supply Chain Management | English Language | Logistics | Dispatch Planning | Supply,1 week ago,https://www.naukri.com/job-listings-dispatch-executive-trident-logistics-new-delhi-1-to-4-years-160626027744
Delhi,Store and Dispatch Executive,Mahabir Plastic,Faridabad,Store Executive | Dispatch Executive | Stores | Dispatch,3+ weeks ago,https://www.naukri.com/job-listings-store-and-dispatch-executive-mahabir-plastic-industries-faridabad-0-to-3-years-280624501248
Delhi,Dispatch Executive,Aos Products,Ghaziabad,dispatch | production | logistics | delivery operations | transportation | Delivery | Operations,3+ weeks ago,https://www.naukri.com/job-listings-dispatch-executive-aos-products-pvt-ltd-ghaziabad-4-to-6-years-211125500143
Delhi,Dispatch Executive,Eternal Homes,New Delhi(Ghitorni),Dispatch | Inventory | Dispatch Planning | Logistics | Planning,4 days ago,https://www.naukri.com/job-listings-dispatch-executive-eternal-homes-new-delhi-2-to-4-years-220626001605
Delhi,Pre Dispatch Inspection Executive (PDI Executive),Mistnokriwala,Faridabad,Product quality | Basic | Pre dispatch inspection | Quality standards | Compliance | Quality inspection | Senior Executive | Packaging,2 weeks ago,https://www.naukri.com/job-listings-pre-dispatch-inspection-executive-pdi-executive-mistnokriwala-faridabad-3-to-8-years-110626501073
